"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1910592211798081839","Fri Apr 11 07:14:15 +0000 2025","0","gacor abis manifesting bisa di acc langsung pake hashtag kabur aja dulu.","1910592211798081839","","","in"," ☎️ : @jejakasastra.","0","2","0","https://x.com/povtery/status/1910592211798081839","1530869447753289729","povtery"
"1910236289024278734","Fri Apr 11 07:08:27 +0000 2025","0","@didienAZHAR Kayaknya kabur aja dulu ","1910590753702883657","","didienAZHAR","in","Kolong langit","0","0","0","https://x.com/donisetiaw72/status/1910590753702883657","969989570707124224","donisetiaw72"
"1910586754329174142","Fri Apr 11 06:58:27 +0000 2025","0","@canvamural kabur aja dulu","1910588236881420422","","canvamural","in","","0","0","0","https://x.com/urserotonin_/status/1910588236881420422","1110211410036875264","urserotonin_"
"1910579352821260402","Fri Apr 11 06:39:42 +0000 2025","0","disini alesan nya gabisa di reff karena apk qriss dia butuh 200k an lagi buat di tarik ke dana dia nya jg gada duit lagi yaudah aku blg aku tunggu aja sampe ada asal ga kabur.. mana dia nyuruh ak minjem dulu kocak dimana mana seller yg tanggung jawab.. https://t.co/ZquyatJyjI","1910583518356500871","https://pbs.twimg.com/media/GoPBVeDbYAIjyjX.jpg","chejiyu","in","","0","1","0","https://x.com/chejiyu/status/1910583518356500871","1899308745433505792","chejiyu"
"1910533262071750852","Fri Apr 11 06:09:34 +0000 2025","0","@tempodotco tagar kabur aja dulu berarti nih","1910575937395319017","","tempodotco","in","","0","0","0","https://x.com/kayanaprayogi/status/1910575937395319017","4152712760","kayanaprayogi"
"1908452254568603992","Fri Apr 11 05:56:27 +0000 2025","0","@tanakqa Kabur aja dulu ya kan?","1910572633579757933","","tanakqa","in","SND.","0","1","0","https://x.com/ericstohn/status/1910572633579757933","1726866101676699648","ericstohn"
"1910569249325932649","Fri Apr 11 05:43:00 +0000 2025","0","kabur aja dulu","1910569249325932649","","","in","Sidoarjo, Indonesia","0","0","0","https://x.com/nasdoel/status/1910569249325932649","569919247","nasdoel"
"1910334594261643537","Fri Apr 11 05:16:15 +0000 2025","1","@_kuanggong_ Semangat nebuuu nugasnya biar sukses terus bisa kabur aja dulu ","1910562519460307146","","_kuanggong_","in","","0","0","0","https://x.com/xiaojungarut/status/1910562519460307146","1102170774","xiaojungarut"
"1910559219180593611","Fri Apr 11 05:03:08 +0000 2025","0","Kabur aja dulu","1910559219180593611","","","in","","0","0","0","https://x.com/RizkyJauhari8/status/1910559219180593611","1547427111623065600","RizkyJauhari8"
"1910340796491903011","Fri Apr 11 05:00:52 +0000 2025","0","@not_ur_boyyss__ @sbyfess gas kabur aja dulu","1910558646611960037","","not_ur_boyyss__","in","13!","0","0","0","https://x.com/dyaarrhea/status/1910558646611960037","1704162073675255808","dyaarrhea"
"1910556783392727390","Fri Apr 11 04:53:28 +0000 2025","0","wow rasanya pgn beneran kabur aja dulu cok","1910556783392727390","","","in","tidak.diketahui","0","0","0","https://x.com/yeueueaytap/status/1910556783392727390","1249927181708308481","yeueueaytap"
"1910365570890907864","Thu Apr 10 16:27:40 +0000 2025","0","@BaseBDG Jam jam pengen kabur aja dulu ke yurop","1910369099252932726","","BaseBDG","in","think out loud.","0","0","0","https://x.com/kittenduste/status/1910369099252932726","2608865815","kittenduste"
"1910314591764279440","Thu Apr 10 15:45:55 +0000 2025","0","@virdianaurellio Gimana katanya mau kabur aja dulu...dijawab ya sudah gih sana marah ngambek...hadeh2","1910358589824499943","","virdianaurellio","in","Indonesia tercinta","0","0","0","https://x.com/Raden_Mas_Budi/status/1910358589824499943","820978803891576835","Raden_Mas_Budi"
"1910358419233759232","Thu Apr 10 15:45:14 +0000 2025","1"," lanjut s2 ngga mbak? kalau iya sekalian dalam rangka kabur aja dulu wejangan dosen-dosen di tempatku kpd mahasiswa bimbingannya ","1910358419233759232","","","in","","0","0","0","https://x.com/goldenhourmj/status/1910358419233759232","1642734767413301248","goldenhourmj"
"1909998233268744405","Thu Apr 10 15:41:15 +0000 2025","0","@accendrio Belum kujawab pertanyaanmu kocak. My interest right now is searching how to kabur aja dulu hehe :3 sucks to be WNI","1910357417386475597","","accendrio","in","I, Joana Thania Adierdja","0","1","0","https://x.com/soundofjo/status/1910357417386475597","1894609470002708480","soundofjo"
"1910350575910474187","Thu Apr 10 15:14:45 +0000 2025","0","@fisikanjeng gak coba kabur dulu aja kak dari rumah?","1910350747595923914","","fisikanjeng","in","","0","1","0","https://x.com/gumajegu/status/1910350747595923914","1838083880244727809","gumajegu"
"1910094939658297644","Thu Apr 10 14:50:14 +0000 2025","5","@andreakups @tang__kira Bener. Wktu SMA aku ada mapel bahasa jerman. Sumpah pusing banget yaa Allah tp knp nilaiku sllu bgus sampai² aku disuruh guru masuk jurusan bahasa. Nyesel siih gak ngembangin itu dulu spy bisa kabur aja dulu ","1910344578546409957","","andreakups","in","","0","0","0","https://x.com/KeyZ1833/status/1910344578546409957","1119613965204484097","KeyZ1833"
"1909999655737565316","Thu Apr 10 14:41:41 +0000 2025","0","@prabowo @MohamedBinZayed Selama tumbuh subur korupsi dan ketidakpastian hukum disini jangan harap ada masuk investor baru yg lama aja sdh pd kabur. Beresin dulu internal baru internasional.","1910342426771812793","","prabowo","in","South Holland, The Netherlands","0","0","0","https://x.com/Agustisyarif/status/1910342426771812793","1238642208011505664","Agustisyarif"
"1910293065702527201","Thu Apr 10 14:33:38 +0000 2025","0","@mvariposa @ofladdies @bfgrent Kan dianya minta diculik koplak. Yang siap diculik cungg kalo mau kenalan dulu sama penculiknya bisa liat di https://t.co/Lw9t9CGjtM nanti gedor aja akun bung livy biar bisa langsung dibawa kabur","1910340400491184399","","mvariposa","in","","0","0","0","https://x.com/revachandesu/status/1910340400491184399","1586258028906500096","revachandesu"
